單字,中文定義,星級,難度等級,分類,詞性,【詞性變化】,搭配詞,例句
adaptability,適應性；變通能力，指在不同環境或情況下調整和應變的能力。,4,中階,人力資源,noun,"noun: adaptability, adaptabilities",,"The company values employees with a high degree of adaptability to handle unexpected changes in the market.
公司重視具備高度適應性的員工，以應對市場上突發的變化。"
adaptable,適應性強的；能適應變化的,4,中階,辦公日常,adjective,"adjective: adaptable, more adaptable, most adaptable","highly adaptable 高度適應力的
adept 熟練的","The company needs employees who are adaptable to changing market conditions.
公司需要能夠適應市場變化的人才。"
adaptation,適應；改編,3,中階,一般專業,noun,noun: adaptation,"adaptation to new regulations 適應新法規
market adaptation 市場適應","The company's adaptation approach needs to be updated.
公司的適應方法需要更新。"
adapted,調整、適應（以符合新的條件或需求）,4,中階,營運管理,"verb, adjective","verb: adapted, adapts, adapting
adjective: adapted, more adapted, most adapted",adapted its products 調整產品,"The company has adapted its marketing strategy to appeal to a younger demographic.
公司已調整其行銷策略，以吸引年輕族群。"
adapter,轉接器；轉換器；適配器,4,基礎,科技與技術支援,noun,"noun: adapter, adapters","power adapter 電源轉接器
travel adapter 旅行轉接頭","I need an adapter to connect my old monitor to the new laptop.
我需要一個轉接器才能把我的舊螢幕接到新筆電上。"
adapting,適應；調整以符合新的條件或情況,4,中階,營運管理,"verb, adjective","verb: adapting, adapts, adapted
adjective: adapting, more adaptable, most adaptable",,"The company is adapting its marketing strategy to reach a younger demographic.
公司正在調整其行銷策略，以接觸年輕族群。"
adaptive,適應性的；能適應的,3,進階,一般專業,adjective,"adjective: adaptive
verb: adapt, adapts, adapting, adapted
noun: adaptation, adaptability
adverb: adaptively","adaptive technology 自適應技術
adaptive leadership 適應型領導","The company needs an adaptive strategy to respond to rapid market changes.
公司需要一個適應性策略來應對快速的市場變化。"
add,增加；加上；添加,5,入門,辦公日常,verb,"verb: add, adds, adding, added","add value to the company 為公司增加價值
edition 版本","Could you please add this item to the purchase order?
您能請將此項目加入購買訂單嗎？"
added,新增；附加；增加,4,基礎,辦公日常,"verb, adjective","verb: added, adds, adding
adjective: added, more added, most added","added value 附加價值
added benefit 額外好處","The marketing team added a new feature to the product to attract more customers.
行銷團隊為產品新增了一個功能，以吸引更多客戶。"
addicted,對某事物產生強烈成癮，無法自拔；沉迷於某事物。,3,中階,營運管理,"adjective, verb","adjective: addicted, more addicted, most addicted
verb: addicted, adds, addicting, added",,"The company is concerned that some employees are addicted to social media during work hours.
公司擔心有些員工在工作時間沉迷於社群媒體。"
adding,增加；附加；增添,5,基礎,辦公日常,"verb, adjective","verb: adding, adds, added
adjective: adding, more adding, most adding","adding an item to the agenda 將項目加入議程
adding more staff 增加人手","The company is adding new features to its software to improve user experience.
該公司正在為其軟體新增功能，以改善使用者體驗。"
addition,加法；額外增加；附加物,5,基礎,辦公日常,noun,"noun: addition, additions",,"The project budget requires an addition of $5,000 for unexpected expenses.
專案預算需要額外增加 5,000 美元以應付 непредвиденные расходы。"
additional,額外的；附加的；補充的,5,基礎,辦公日常,"adjective, adverb","adjective: additional, more additional, most additional
adverb: additional","additional information 額外資訊
additional staff 額外人力","The company is offering an additional 10% discount for loyal customers.
公司為忠誠客戶提供額外 10% 的折扣。"
additionally,此外；另外；額外地,4,中階,辦公日常,adverb,adverb: additionally,"addition 名詞
additional 形容詞","The project budget has increased; additionally, the deadline has been extended.
專案預算已增加；此外，截止日期也已延長。"
address,地址；（正式）稱謂；處理（問題、信件等）,5,基礎,辦公日常,"noun, verb","noun: address, addresses
verb: address, addresses, addressing, addressed",,"Please send the invoice to the following address.
請將發票寄至以下地址。"
addressed,（正式地）處理；解決；（信件、包裹等）寄達,4,中階,溝通互動,verb,"verb: addressed, addresses, addressing",,"The manager addressed the team's concerns about the new project timeline.
經理解決了團隊對新項目時間表的擔憂。"
addressing,處理；解決；（信件、包裹等）寄送至；（問題、議題等）探討,4,中階,辦公日常,"verb, adjective","verb: addressing, addresses, addressed
adjective: addressing, more addressing, most addressing",,"The IT department is addressing the network outage as a top priority.
資訊部門正將網路中斷視為首要任務來處理。"
adds,增加；附加；添加,5,基礎,辦公日常,verb,"verb: adds, adding, added","adds a feature 增加功能
to the cost 增加成本","The software update adds several new features to improve user experience.
這項軟體更新增加了幾個新功能，以提升使用者體驗。"
adductor,內收肌 (指使肢體靠近身體中線的肌肉),1,精熟,一般專業,noun,"noun: adductor, adductors","duct 引導
abductor 展肌","The adductor muscles in the thigh are crucial for activities like walking and running.
大腿的內收肌對於走路和跑步等活動至關重要。"
adept,擅長；精通；熟練,3,進階,辦公日常,adjective,"adjective: adept, more adept, most adept","be adept at negotiating 擅長談判
expert 專家","She is adept at using various software programs, making her a valuable asset to the team.
她擅長使用各種軟體程式，使她成為團隊中寶貴的資產。"
adequate,足夠的；適當的；滿足需求的,4,中階,辦公日常,adjective,"adjective: adequate, more adequate, most adequate",,"The company's current resources are adequate to handle the project's initial phase.
目前公司的資源足以應付專案的初步階段。"
adequately,充份地；適當地；足以,4,中階,辦公日常,adverb,adverb: adequately,"adequately prepared 準備充足
adequately funded 資金充足","The company ensured that all employees were adequately trained before taking on new responsibilities.
公司確保所有員工在承擔新職責之前都得到了充分的培訓。"
adhere,遵守；堅持；黏附,3,進階,辦公日常,verb,"verb: adhere, adheres, adhering, adhered",s dress code 遵守公司的服裝規定,"All employees are required to adhere to the company's code of conduct.
所有員工都必須遵守公司的行為準則。"
adisa,（電腦）管理系統；系統管理員,1,精熟,科技與技術支援,noun,"noun: adisa, adas","advise someone to do something 建議某人做某事
advisor 顧問","The IT department relies on the system administrator to maintain network security.
IT 部門依靠系統管理員來維護網路安全。"
adjacent,緊鄰的；相鄰的,3,中階,辦公日常,adjective,"adjective: adjacent, more adjacent, most adjacent","nearby 附近
opposite 對面","The conference room is adjacent to the cafeteria, making it convenient for attendees to grab lunch.
會議室緊鄰餐廳，讓與會者方便用餐。"
adjourn,暫緩、延期（會議、審判等）,3,進階,會議與簡報,verb,"verb: adjourn, adjourns, adjourning, adjourned",,"Due to unforeseen circumstances, the meeting will be adjourned until next week.
由於突發狀況，會議將延期至下週舉行。"
adjournment,（會議、辯論等）休會、延會,2,進階,會議與簡報,"noun, verb","noun: adjournment, adjournments
verb: adjournment, adjourns, adjourning, adjourned","move for adjournment 提議休會
grant an adjournment 准許延期或休會","Due to unforeseen circumstances, the meeting was adjourned until further notice.
由於突發狀況，會議已延會，暫停至另行通知。"
